restaurantId,name,type,slotDiscovery,urls,priceBand,neighborhood,primaryCuisine,campaignId,isPromoted,restaurantAvailabilityToken,isPinned,diningStyle,address,description,hasTakeout,recentReservationCount,textReviewCount,rating,hasBar,hasCounter,hasHighTop,hasOutdoor,pickupEnabled,groupId,latitude,longitude,phoneNumber,deliveryPartner,menuUrl
3508,Ruth's Chris Steak House - San Diego,GuestCenter,on,https://www.opentable.com/ruths-chris-steak-house-san-diego,$31 to $50,Downtown / Gaslamp,Steakhouse,1729281,true,eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ,false,Fine Dining,"1355 North Harbor Drive, San Diego, CA, 92101","Now Open: We look forward to serving you soon.\u003cbr />\u003cbr />Ruth's Chris Steak House in San Diego, CA serves the finest USDA Prime beef available, broiled at 1,800° and served on 500° plates, so your steak stays hot, juicy and delicious from first bite to last. Enjoy our New Orleans-inspired appetizers, USDA Prime steaks, fresh seafood, signature side dishes and homemade desserts. All this while you enjoy our warm, inviting atmosphere and Ruth’s Chris’ genuine hospitality. So whether you’re a regular or have just been wondering what all the buzz is about, Ruth's Chris is the perfect excuse to enjoy the perfect night out. Dinner is served nightly, reservations are suggested and private dining and offsite catering may be arranged. \u003cbr />\u003cbr />",true,65,3318,rating:4.8,false,false,false,false,null,26,32.7192,-117.173,(619) 233-1422,UBER_EATS,https://ubertrk.com/c/2606859/811249/5714?prodsku=84651737-dee2-4c37-891f-da4d29072eca&u=https%3A%2F%2Fwww.ubereats.com%2Fsan-diego%2Ffood-delivery%2Fruths-chris-steak-house-1355-n-harbor-dr%2FhGUXN97iTDeJH9pNKQcuyg%2F%3Futm_campaign%3Daffiliate-ir-%7Birmpname%7D_1_-99_national_e_all_acq_cpa_en_click-%7Bclickid%7D&intsrc=CATF_5854
114097,Juniper & Ivy,GuestCenter,on,https://www.opentable.com/r/juniper-and-ivy-san-diego,$50 and over,Little Italy,Contemporary American,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Casual Elegant,"2228 Kettner Blvd, San Diego, CA, 92101","Juniper and Ivy delivers a chef-driven menu that uses hand-selected, seasonal ingredients crafted with precision, passion, and creativity. Daily offerings rotate, based on the top ingredients brought in by local farmers and fishermen that morning.\u003cbr />\u003cbr />We are pleased to be able to offer our Under the Stars outdoor dining space along with our indoor Dining Room . We do our best to offer a safe and socially distant atmosphere, in both areas.  While still maintaining a comfortable and cozy al fresco experience for our outdoor guests.  ",false,85,5991,rating:4.6,false,true,true,true,true,,32.727464,-117.171295,(619) 269-9036,,
190246,Herb & Wood,GuestCenter,on,https://www.opentable.com/herb-and-wood,$31 to $50,Little Italy,Californian,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Fine Dining,"2210 Kettner Blvd, San Diego, CA, 92101","A timeless, sought-after dining escape, celebrated Chef Brian Malarkey opened Herb & Wood to instant acclaim over four years ago. In that time, the restaurant has become an icon, a dining destination that has helped to propel San Diego's culinary reputation to new heights. By focusing on rustic, wood-fired dishes, Chef Malarkey's menu elevates humble ingredients such as carrots, beets, and chicken, incorporating Mediterranean flavors and a California ethos of seasonality and sustainability.\u003cbr />",true,98,3347,rating:4.7,true,false,false,false,true,8327,32.727217,-117.170929,(619) 955-8495,,
110638,Fogo de Chao - San Diego,GuestCenter,on,https://www.opentable.com/r/fogo-de-chao-brazilian-steakhouse-san-diego,$31 to $50,Downtown / Gaslamp,Brazilian Steakhouse,1701351,true,eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ,false,Casual Elegant,"668 6th Avenue, San Diego, CA, 92101","Fogo de Chao is the leading Brazilian steakhouse specializing in fire-roasting high-quality meats since 1979 utilizing the centuries-old Southern Brazilian cooking technique of churrasco. Please join us on our patio, or bring the Fogo Experience to you with Fogo To-Go, Butcher Shop or Catering for Pick-Up or Contactless Delivery.  Visit www.fogo.com to make a reservation or place an order. ",true,null,2390,rating:4.2,false,false,false,false,null,110,32.712361,-117.159342,(619) 338-0500,,
6992,Barbusa,GuestCenter,on,https://www.opentable.com/r/barbusa-san-diego,$30 and under,Little Italy,Italian,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Casual Dining,"1917 India Street, San Diego, CA, 92101","Barbusa Local Modern Sicilian Restaurant.\u003cbr />Lively atmosphere with our craft cocktails, handmade pastas, freshest seafood, delicate pizza, and our famous Sicilian Ribeye.\u003cbr />\u003cbr />Pizza Served from our stone fired oven.\u003cbr />\u003cbr />Gluten free and Vegan Items Available\u003cbr />\u003cbr />\u003cbr />DUE TO UNCERTAIN TIMES WE WILL NO LONGER BE TAKING RESERVATIONS.ALL EXISTING RESERVATIONS WILL BE HONORED.\u003cbr />\u003cbr />WHILE WE VALUE THE TIME OF ALL OUR LOYAL GUEST AND SMILING FACES, WE KINDLY REQUEST YOU LIMIT THE TIME SPENT AT YOUR TABLE DUE TO MANDATED REDUCTION IN CAPACITY.\u003cbr />\u003cbr />THANK YOU FOR YOUR UNDERSTANDING AND SUPPORT, WE COULDNT BE MORE THRILLED TO HAVE YOU BACK!\u003cbr />\u003cbr />\u003cbr />",true,92,2561,rating:4.6,false,false,false,false,null,84,32.724596,-117.168646,(619) 238-1917,,
1014958,Butcher’s Cut Steakhouse,GuestCenter,on,https://www.opentable.com/r/butchers-cut-steakhouse-san-diego,$31 to $50,Downtown / Gaslamp,American,1736721,true,eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ,false,Casual Elegant,"644 5th Ave, San Diego, CA, 92101","Butchers cut is a contemporary grill and premiere steakhouse that offers an unmatched selection of beef, fish, and pasta. As the premier steakhouse of San Diego located in the heart of the Gaslamp Quarter, we offer an ambiance with a rustic and vintage vibe that takes you back to a simple and classic era. Our newly installed glass meat locker on the restaurant floor is a spectacle everyone must experience in person, where patrons can handpick the piece that catches their eye. We promise to be the freshest, most desired dining destination in the Gaslamp District. We are offering a Tuesday night date night-$79 menu for two people, from 4 PM-close",true,60,444,rating:3.6,false,false,false,true,null,912,32.712194,-117.160463,(619) 235-8144,,
1039777,Civico by the Park,GuestCenter,on,https://www.opentable.com/r/civico-by-the-park-san-diego,$30 and under,Downtown / Gaslamp,Italian,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Casual Dining,"2550 5th Ave., San Diego, CA, 92103","Join us for brunch starting Sunday, April 4th, and every Sunday after! Come relax by the the park with a delicious Spritz and one of Chef Pietro's Calabrifornian creations! In addition to amazing cocktails and food, enjoy a live DJ playing low tempo jams. (Brunch only)\u003cbr />\u003cbr />Civico by The Park is the new location for the famous Civico1845 in Little Italy, San Diego. The Gallo Brothers are bringing their love, passion, and enthusiasm, to Banker's Hill!\u003cbr />\u003cbr />We feature flavors of authentic Calabrian cuisine, created through surprising techniques and nuances by owner and Executive Chef Pietro Gallo.\u003cbr />\u003cbr />We offer full traditional and vegan menus with the addition of our homemade pizza in two styles: the Pinsa Romana and Calabrian Pizza!\u003cbr />\u003cbr />In addition, we offer an outstanding selection of Italian wines and craft cocktails focusing on amaro and grappa—the perfect aperitivo or complement to your meal.\u003cbr />\u003cbr />Hope to see you soon!\u003cbr />Dario and Pietro Gallo",true,56,409,rating:4.3,true,false,false,true,null,,32.73196,-117.160658,(619) 310-5669,,
1000996,Nolita Hall,GuestCenter,on,https://www.opentable.com/r/nolita-hall-san-diego,$31 to $50,Little Italy,Contemporary Italian,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Casual Dining,"2305 India St., San Diego, CA, 92101","Inspired by both the modern and traditional drinking emporiums in Europe’s legendary beer cities, Nolita Hall San Diego is opening our doors with the promise of a unique and unexpected full-service restaurant experience. We are not able to seat incomplete parties or parties larger than the number on the reservation. Your entire party must be present within 15 minutes of your reservation time. All guests are required to wear a face-covering when not seated and must adhere to social distancing of 6 feet when not seated. We are following strict sanitation and social distancing protocols to ensure the safety of our guests and employees.\u003cbr />\u003cbr />Note: Your table will be reserved for 2 hours.\u003cbr />",true,25,214,rating:4.7,false,false,false,true,null,7884,32.728567,-117.170188,(619) 255-8000,,
300172,Rovino,GuestCenter,on,https://www.opentable.com/r/rovino-san-diego,$31 to $50,Little Italy,Italian,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Casual Dining,"2034 Kettner Boulevard, San Diego, CA, 92101-1777","Rovino, located in San Diego, California, offers Italian cuisine for lunch and dinner. Rovino features an extensive wine selection and a knowledgeable staff who can help pair wine with each entrée.\u003cbr />\u003cbr />\u003cbr />\u003cbr />Try the fried calamari or the saffron rice balls filled with ground beef, peas and mozzarella cheese to start out your meal at Rovino. Choose from dinner entrées like the prosciutto and arugula flatbread or the pasta al sugo. Top off your Italian experience with a cup of specialty coffee and a dessert such as the tiramisu or the cannoli.\u003cbr />",true,16,631,rating:4.4,false,false,false,false,null,2571,32.725429,-117.170119,(619) 269-9341,,
171283,Civico 1845,GuestCenter,on,https://www.opentable.com/civico-1845,$30 and under,Little Italy,Italian,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Casual Dining,"1845 India Street, San Diego, CA, 92101",Fresh flavors with a modern spin on traditional Italian classics. Menu features several gluten-free and vegan friendly options.,true,26,1493,rating:4.3,false,false,false,false,null,,32.724251,-117.168344,(619) 431-5990,,
