restaurantId,name,type,slotDiscovery,urls,priceBand,neighborhood,statistics,primaryCuisine,campaignId,isPromoted,features,restaurantAvailabilityToken,groups,__typename,isPinned,photos,justAddedDetails,offers,diningStyle,coordinates,address,description,matchRelevance,hasTakeout,contactInformation,deliveryPartners
110638,Fogo de Chao - San Diego,GuestCenter,on,"{profileLink:{link:https://www.opentable.com/r/fogo-de-chao-brazilian-steakhouse-san-diego,__typename:PageLink},__typename:RestaurantUrls}","{priceBandId:3,currencySymbol:$,name:$31 to $50,__typename:PriceBand}","{name:Downtown / Gaslamp,__typename:Neighborhood}","{recentReservationCount:138,reviews:{allTimeTextReviewCount:2390,ratings:{overall:{rating:4.2,__typename:ReviewStatisticsRating},__typename:ReviewStatisticsRatings},__typename:ReviewStatistics},__typename:RestaurantStatistics}","{name:Brazilian Steakhouse,__typename:Cuisine}",1701351,true,"{subtype:null,bar:false,counter:false,highTop:false,outdoor:false,pickupEnabled:null,__typename:RestaurantFeatures}",eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ,"[{id:2110,__typename:RestaurantGroup}]",Restaurant,false,"{profile:{xsmall:{url:https://resizer.otstatic.com/v2/photos/xsmall/1/26447500.jpg,width:105,__typename:Thumbnail},small:{url:https://images.otstatic.com/prod/26447500/1/small.jpg,width:160,__typename:Thumbnail},legacy:{url:https://resizer.otstatic.com/v2/photos/legacy/1/26447500.jpg,width:208,__typename:Thumbnail},medium:{url:https://images.otstatic.com/prod/26447500/1/medium.jpg,width:320,__typename:Thumbnail},__typename:RestaurantProfile},__typename:RestaurantPhotos}","{justAdded:false,__typename:JustAddedDetails}",[],Casual Elegant,"{latitude:32.712361,longitude:-117.159342,__typename:GeographicCoordinates}","{line1:668 6th Avenue,line2:,city:San Diego,state:CA,postCode:92101,__typename:Address}","Fogo de Chao is the leading Brazilian steakhouse specializing in fire-roasting high-quality meats since 1979 utilizing the centuries-old Southern Brazilian cooking technique of churrasco. Please join us on our patio, or bring the Fogo Experience to you with Fogo To-Go, Butcher Shop or Catering for Pick-Up or Contactless Delivery.  Visit www.fogo.com to make a reservation or place an order. ",null,true,"{phoneNumber:6193380500,formattedPhoneNumber:(619) 338-0500,__typename:RestaurantContactInformation}",[]
114097,Juniper & Ivy,GuestCenter,on,"{profileLink:{link:https://www.opentable.com/r/juniper-and-ivy-san-diego,__typename:PageLink},__typename:RestaurantUrls}","{priceBandId:4,currencySymbol:$,name:$50 and over,__typename:PriceBand}","{name:Little Italy,__typename:Neighborhood}","{recentReservationCount:84,reviews:{allTimeTextReviewCount:5991,ratings:{overall:{rating:4.6,__typename:ReviewStatisticsRating},__typename:ReviewStatisticsRatings},__typename:ReviewStatistics},__typename:RestaurantStatistics}","{name:Contemporary American,__typename:Cuisine}",null,false,"{subtype:null,bar:false,counter:true,highTop:true,outdoor:true,pickupEnabled:true,__typename:RestaurantFeatures}",eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,[],Restaurant,false,"{profile:{xsmall:{url:https://resizer.otstatic.com/v2/photos/xsmall/1/30397986.jpg,width:105,__typename:Thumbnail},small:{url:https://images.otstatic.com/prod1/30397986/1/small.png,width:160,__typename:Thumbnail},legacy:{url:https://resizer.otstatic.com/v2/photos/legacy/1/30397986.jpg,width:208,__typename:Thumbnail},medium:{url:https://images.otstatic.com/prod1/30397986/1/medium.png,width:320,__typename:Thumbnail},__typename:RestaurantProfile},__typename:RestaurantPhotos}","{justAdded:false,__typename:JustAddedDetails}",[],Casual Elegant,"{latitude:32.727464,longitude:-117.171295,__typename:GeographicCoordinates}","{line1:2228 Kettner Blvd,line2:,city:San Diego,state:CA,postCode:92101,__typename:Address}","Juniper and Ivy delivers a chef-driven menu that uses hand-selected, seasonal ingredients crafted with precision, passion, and creativity. Daily offerings rotate, based on the top ingredients brought in by local farmers and fishermen that morning.\u003cbr />\u003cbr />We are pleased to be able to offer our Under the Stars outdoor dining space along with our indoor Dining Room . We do our best to offer a safe and socially distant atmosphere, in both areas.  While still maintaining a comfortable and cozy al fresco experience for our outdoor guests.  ",null,false,"{phoneNumber:6192699036,formattedPhoneNumber:(619) 269-9036,__typename:RestaurantContactInformation}",[]
190246,Herb & Wood,GuestCenter,on,"{profileLink:{link:https://www.opentable.com/herb-and-wood,__typename:PageLink},__typename:RestaurantUrls}","{priceBandId:3,currencySymbol:$,name:$31 to $50,__typename:PriceBand}","{name:Little Italy,__typename:Neighborhood}","{recentReservationCount:98,reviews:{allTimeTextReviewCount:3347,ratings:{overall:{rating:4.7,__typename:ReviewStatisticsRating},__typename:ReviewStatisticsRatings},__typename:ReviewStatistics},__typename:RestaurantStatistics}","{name:Californian,__typename:Cuisine}",null,false,"{subtype:null,bar:true,counter:false,highTop:false,outdoor:false,pickupEnabled:true,__typename:RestaurantFeatures}",eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,"[{id:18327,__typename:RestaurantGroup}]",Restaurant,false,"{profile:{xsmall:{url:https://resizer.otstatic.com/v2/photos/xsmall/1/25187164.jpg,width:105,__typename:Thumbnail},small:{url:https://images.otstatic.com/prod/25187164/1/small.jpg,width:160,__typename:Thumbnail},legacy:{url:https://resizer.otstatic.com/v2/photos/legacy/1/25187164.jpg,width:208,__typename:Thumbnail},medium:{url:https://images.otstatic.com/prod/25187164/1/medium.jpg,width:320,__typename:Thumbnail},__typename:RestaurantProfile},__typename:RestaurantPhotos}","{justAdded:false,__typename:JustAddedDetails}",[],Fine Dining,"{latitude:32.727217,longitude:-117.170929,__typename:GeographicCoordinates}","{line1:2210 Kettner Blvd,line2:,city:San Diego,state:CA,postCode:92101,__typename:Address}","A timeless, sought-after dining escape, celebrated Chef Brian Malarkey opened Herb & Wood to instant acclaim over four years ago. In that time, the restaurant has become an icon, a dining destination that has helped to propel San Diego's culinary reputation to new heights. By focusing on rustic, wood-fired dishes, Chef Malarkey's menu elevates humble ingredients such as carrots, beets, and chicken, incorporating Mediterranean flavors and a California ethos of seasonality and sustainability.\u003cbr />",null,true,"{phoneNumber:619-955-8495,formattedPhoneNumber:(619) 955-8495,__typename:RestaurantContactInformation}",[]
3508,Ruth's Chris Steak House - San Diego,GuestCenter,on,"{profileLink:{link:https://www.opentable.com/ruths-chris-steak-house-san-diego,__typename:PageLink},__typename:RestaurantUrls}","{priceBandId:3,currencySymbol:$,name:$31 to $50,__typename:PriceBand}","{name:Downtown / Gaslamp,__typename:Neighborhood}","{recentReservationCount:59,reviews:{allTimeTextReviewCount:3318,ratings:{overall:{rating:4.8,__typename:ReviewStatisticsRating},__typename:ReviewStatisticsRatings},__typename:ReviewStatistics},__typename:RestaurantStatistics}","{name:Steakhouse,__typename:Cuisine}",1729281,true,"{subtype:null,bar:false,counter:false,highTop:false,outdoor:false,pickupEnabled:null,__typename:RestaurantFeatures}",eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ,"[{id:226,__typename:RestaurantGroup}]",Restaurant,false,"{profile:{xsmall:{url:https://resizer.otstatic.com/v2/photos/xsmall/1/23872519.jpg,width:105,__typename:Thumbnail},small:{url:https://images.otstatic.com/prod/23872519/1/small.jpg,width:160,__typename:Thumbnail},legacy:{url:https://resizer.otstatic.com/v2/photos/legacy/1/23872519.jpg,width:208,__typename:Thumbnail},medium:{url:https://images.otstatic.com/prod/23872519/1/medium.jpg,width:320,__typename:Thumbnail},__typename:RestaurantProfile},__typename:RestaurantPhotos}","{justAdded:false,__typename:JustAddedDetails}",[],Fine Dining,"{latitude:32.7192,longitude:-117.173,__typename:GeographicCoordinates}","{line1:1355 North Harbor Drive,line2:,city:San Diego,state:CA,postCode:92101,__typename:Address}","Now Open: We look forward to serving you soon.\u003cbr />\u003cbr />Ruth's Chris Steak House in San Diego, CA serves the finest USDA Prime beef available, broiled at 1,800° and served on 500° plates, so your steak stays hot, juicy and delicious from first bite to last. Enjoy our New Orleans-inspired appetizers, USDA Prime steaks, fresh seafood, signature side dishes and homemade desserts. All this while you enjoy our warm, inviting atmosphere and Ruth’s Chris’ genuine hospitality. So whether you’re a regular or have just been wondering what all the buzz is about, Ruth's Chris is the perfect excuse to enjoy the perfect night out. Dinner is served nightly, reservations are suggested and private dining and offsite catering may be arranged. \u003cbr />\u003cbr />",null,true,"{phoneNumber:6192331422,formattedPhoneNumber:(619) 233-1422,__typename:RestaurantContactInformation}","[{deliveryPartnerId:3,deliveryPartnerName:UBER_EATS,menuUrl:https://ubertrk.com/c/2606859/811249/5714?prodsku=84651737-dee2-4c37-891f-da4d29072eca&u=https%3A%2F%2Fwww.ubereats.com%2Fsan-diego%2Ffood-delivery%2Fruths-chris-steak-house-1355-n-harbor-dr%2FhGUXN97iTDeJH9pNKQcuyg%2F%3Futm_campaign%3Daffiliate-ir-%7Birmpname%7D_1_-99_national_e_all_acq_cpa_en_click-%7Bclickid%7D&intsrc=CATF_5854,active:true,__typename:DeliveryPartner}]"
6992,Barbusa,GuestCenter,on,"{profileLink:{link:https://www.opentable.com/r/barbusa-san-diego,__typename:PageLink},__typename:RestaurantUrls}","{priceBandId:2,currencySymbol:$,name:$30 and under,__typename:PriceBand}","{name:Little Italy,__typename:Neighborhood}","{recentReservationCount:94,reviews:{allTimeTextReviewCount:2561,ratings:{overall:{rating:4.6,__typename:ReviewStatisticsRating},__typename:ReviewStatisticsRatings},__typename:ReviewStatistics},__typename:RestaurantStatistics}","{name:Italian,__typename:Cuisine}",null,false,"{subtype:null,bar:false,counter:false,highTop:false,outdoor:false,pickupEnabled:null,__typename:RestaurantFeatures}",eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,"[{id:584,__typename:RestaurantGroup}]",Restaurant,false,"{profile:{xsmall:{url:https://resizer.otstatic.com/v2/photos/xsmall/1/24605857.jpg,width:105,__typename:Thumbnail},small:{url:https://images.otstatic.com/prod/24605857/1/small.jpg,width:160,__typename:Thumbnail},legacy:{url:https://resizer.otstatic.com/v2/photos/legacy/1/24605857.jpg,width:208,__typename:Thumbnail},medium:{url:https://images.otstatic.com/prod/24605857/1/medium.jpg,width:320,__typename:Thumbnail},__typename:RestaurantProfile},__typename:RestaurantPhotos}","{justAdded:false,__typename:JustAddedDetails}",[],Casual Dining,"{latitude:32.724596,longitude:-117.168646,__typename:GeographicCoordinates}","{line1:1917 India Street,line2:,city:San Diego,state:CA,postCode:92101,__typename:Address}","Barbusa Local Modern Sicilian Restaurant.\u003cbr />Lively atmosphere with our craft cocktails, handmade pastas, freshest seafood, delicate pizza, and our famous Sicilian Ribeye.\u003cbr />\u003cbr />Pizza Served from our stone fired oven.\u003cbr />\u003cbr />Gluten free and Vegan Items Available\u003cbr />\u003cbr />\u003cbr />DUE TO UNCERTAIN TIMES WE WILL NO LONGER BE TAKING RESERVATIONS.ALL EXISTING RESERVATIONS WILL BE HONORED.\u003cbr />\u003cbr />WHILE WE VALUE THE TIME OF ALL OUR LOYAL GUEST AND SMILING FACES, WE KINDLY REQUEST YOU LIMIT THE TIME SPENT AT YOUR TABLE DUE TO MANDATED REDUCTION IN CAPACITY.\u003cbr />\u003cbr />THANK YOU FOR YOUR UNDERSTANDING AND SUPPORT, WE COULDNT BE MORE THRILLED TO HAVE YOU BACK!\u003cbr />\u003cbr />\u003cbr />",null,true,"{phoneNumber:6192381917,formattedPhoneNumber:(619) 238-1917,__typename:RestaurantContactInformation}",[]
103516,Blind Burro,GuestCenter,on,"{profileLink:{link:https://www.opentable.com/blind-burro,__typename:PageLink},__typename:RestaurantUrls}","{priceBandId:2,currencySymbol:$,name:$30 and under,__typename:PriceBand}","{name:Downtown / Gaslamp,__typename:Neighborhood}","{recentReservationCount:26,reviews:{allTimeTextReviewCount:558,ratings:{overall:{rating:4.4,__typename:ReviewStatisticsRating},__typename:ReviewStatisticsRatings},__typename:ReviewStatistics},__typename:RestaurantStatistics}","{name:Mexican / Southwestern,__typename:Cuisine}",1423616,true,"{subtype:null,bar:true,counter:false,highTop:true,outdoor:true,pickupEnabled:null,__typename:RestaurantFeatures}",eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ,"[{id:19632,__typename:RestaurantGroup}]",Restaurant,false,"{profile:{xsmall:{url:https://resizer.otstatic.com/v2/photos/xsmall/1/25854562.jpg,width:105,__typename:Thumbnail},small:{url:https://images.otstatic.com/prod/25854562/0/small.jpg,width:160,__typename:Thumbnail},legacy:{url:https://resizer.otstatic.com/v2/photos/legacy/1/25854562.jpg,width:208,__typename:Thumbnail},medium:{url:https://images.otstatic.com/prod/25854562/1/medium.jpg,width:320,__typename:Thumbnail},__typename:RestaurantProfile},__typename:RestaurantPhotos}","{justAdded:false,__typename:JustAddedDetails}",[],Casual Dining,"{latitude:32.709367,longitude:-117.15884,__typename:GeographicCoordinates}","{line1:639 J St.,line2:,city:San Diego,state:CA,postCode:92101,__typename:Address}","The Blind Burro specializes in fresh, coastal Baja Mexican cuisine.  Our emphasis is on quality, from the customer service, to the ingredients we use in all of our hand crafted food and drinks.  We want our guests to enjoy Baja Mexican fare right here in East Village, San Diego.  Come in and enjoy a relaxed atmosphere where you can meet over a carafe of spicy margaritas or on tap house sangria. .  Or try us for lunch with clients while enjoying steak tacos and a quinoa mixed green salad.   Hope to see you soon in the unique, airy and comfortable environment we have created for you in downtown San Diego. \u003cbr />\u003cbr />**All checks will have a 4% pandemic recovery surcharge due to the additional costs associated with the impact on our business and operations.  This is not a gratuity and will be used to help us offset the additional product, labor, overhead and other costs.**",null,false,"{phoneNumber:6197957880,formattedPhoneNumber:(619) 795-7880,__typename:RestaurantContactInformation}",[]
1039777,Civico by the Park,GuestCenter,on,"{profileLink:{link:https://www.opentable.com/r/civico-by-the-park-san-diego,__typename:PageLink},__typename:RestaurantUrls}","{priceBandId:2,currencySymbol:$,name:$30 and under,__typename:PriceBand}","{name:Downtown / Gaslamp,__typename:Neighborhood}","{recentReservationCount:57,reviews:{allTimeTextReviewCount:409,ratings:{overall:{rating:4.3,__typename:ReviewStatisticsRating},__typename:ReviewStatisticsRatings},__typename:ReviewStatistics},__typename:RestaurantStatistics}","{name:Italian,__typename:Cuisine}",null,false,"{subtype:null,bar:true,counter:false,highTop:false,outdoor:true,pickupEnabled:null,__typename:RestaurantFeatures}",eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,[],Restaurant,false,"{profile:{xsmall:{url:https://resizer.otstatic.com/v2/photos/xsmall/2/26335355.jpg,width:105,__typename:Thumbnail},small:{url:https://images.otstatic.com/prod/26335355/2/small.jpg,width:160,__typename:Thumbnail},legacy:{url:https://resizer.otstatic.com/v2/photos/legacy/2/26335355.jpg,width:208,__typename:Thumbnail},medium:{url:https://images.otstatic.com/prod/26335355/2/medium.jpg,width:320,__typename:Thumbnail},__typename:RestaurantProfile},__typename:RestaurantPhotos}","{justAdded:false,__typename:JustAddedDetails}",[],Casual Dining,"{latitude:32.73196,longitude:-117.160658,__typename:GeographicCoordinates}","{line1:2550 5th Ave.,line2:,city:San Diego,state:CA,postCode:92103,__typename:Address}","Join us for brunch starting Sunday, April 4th, and every Sunday after! Come relax by the the park with a delicious Spritz and one of Chef Pietro's Calabrifornian creations! In addition to amazing cocktails and food, enjoy a live DJ playing low tempo jams. (Brunch only)\u003cbr />\u003cbr />Civico by The Park is the new location for the famous Civico1845 in Little Italy, San Diego. The Gallo Brothers are bringing their love, passion, and enthusiasm, to Banker's Hill!\u003cbr />\u003cbr />We feature flavors of authentic Calabrian cuisine, created through surprising techniques and nuances by owner and Executive Chef Pietro Gallo.\u003cbr />\u003cbr />We offer full traditional and vegan menus with the addition of our homemade pizza in two styles: the Pinsa Romana and Calabrian Pizza!\u003cbr />\u003cbr />In addition, we offer an outstanding selection of Italian wines and craft cocktails focusing on amaro and grappa—the perfect aperitivo or complement to your meal.\u003cbr />\u003cbr />Hope to see you soon!\u003cbr />Dario and Pietro Gallo",null,true,"{phoneNumber:6193105669,formattedPhoneNumber:(619) 310-5669,__typename:RestaurantContactInformation}",[]
1000996,Nolita Hall,GuestCenter,on,"{profileLink:{link:https://www.opentable.com/r/nolita-hall-san-diego,__typename:PageLink},__typename:RestaurantUrls}","{priceBandId:3,currencySymbol:$,name:$31 to $50,__typename:PriceBand}","{name:Little Italy,__typename:Neighborhood}","{recentReservationCount:69,reviews:{allTimeTextReviewCount:214,ratings:{overall:{rating:4.7,__typename:ReviewStatisticsRating},__typename:ReviewStatisticsRatings},__typename:ReviewStatistics},__typename:RestaurantStatistics}","{name:Contemporary Italian,__typename:Cuisine}",null,false,"{subtype:null,bar:false,counter:false,highTop:false,outdoor:true,pickupEnabled:null,__typename:RestaurantFeatures}",eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,"[{id:17884,__typename:RestaurantGroup}]",Restaurant,false,"{profile:{xsmall:{url:https://resizer.otstatic.com/v2/photos/xsmall/3/29609774.jpg,width:105,__typename:Thumbnail},small:{url:https://images.otstatic.com/prod1/29609774/3/small.jpg,width:160,__typename:Thumbnail},legacy:{url:https://resizer.otstatic.com/v2/photos/legacy/3/29609774.jpg,width:208,__typename:Thumbnail},medium:{url:https://images.otstatic.com/prod1/29609774/3/medium.jpg,width:320,__typename:Thumbnail},__typename:RestaurantProfile},__typename:RestaurantPhotos}","{justAdded:false,__typename:JustAddedDetails}",[],Casual Dining,"{latitude:32.728567,longitude:-117.170188,__typename:GeographicCoordinates}","{line1:2305 India St.,line2:,city:San Diego,state:CA,postCode:92101,__typename:Address}","Inspired by both the modern and traditional drinking emporiums in Europe’s legendary beer cities, Nolita Hall San Diego is opening our doors with the promise of a unique and unexpected full-service restaurant experience. We are not able to seat incomplete parties or parties larger than the number on the reservation. Your entire party must be present within 15 minutes of your reservation time. All guests are required to wear a face-covering when not seated and must adhere to social distancing of 6 feet when not seated. We are following strict sanitation and social distancing protocols to ensure the safety of our guests and employees.\u003cbr />\u003cbr />Note: Your table will be reserved for 2 hours.\u003cbr />",null,true,"{phoneNumber:6192558000,formattedPhoneNumber:(619) 255-8000,__typename:RestaurantContactInformation}",[]
300172,Rovino,GuestCenter,on,"{profileLink:{link:https://www.opentable.com/r/rovino-san-diego,__typename:PageLink},__typename:RestaurantUrls}","{priceBandId:3,currencySymbol:$,name:$31 to $50,__typename:PriceBand}","{name:Little Italy,__typename:Neighborhood}","{recentReservationCount:16,reviews:{allTimeTextReviewCount:631,ratings:{overall:{rating:4.4,__typename:ReviewStatisticsRating},__typename:ReviewStatisticsRatings},__typename:ReviewStatistics},__typename:RestaurantStatistics}","{name:Italian,__typename:Cuisine}",null,false,"{subtype:null,bar:false,counter:false,highTop:false,outdoor:false,pickupEnabled:null,__typename:RestaurantFeatures}",eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,"[{id:22571,__typename:RestaurantGroup}]",Restaurant,false,"{profile:{xsmall:{url:https://resizer.otstatic.com/v2/photos/xsmall/1/24861344.jpg,width:105,__typename:Thumbnail},small:{url:https://images.otstatic.com/prod/24861344/1/small.jpg,width:160,__typename:Thumbnail},legacy:{url:https://resizer.otstatic.com/v2/photos/legacy/1/24861344.jpg,width:208,__typename:Thumbnail},medium:{url:https://images.otstatic.com/prod/24861344/1/medium.jpg,width:320,__typename:Thumbnail},__typename:RestaurantProfile},__typename:RestaurantPhotos}","{justAdded:false,__typename:JustAddedDetails}",[],Casual Dining,"{latitude:32.725429,longitude:-117.170119,__typename:GeographicCoordinates}","{line1:2034 Kettner Boulevard,line2:,city:San Diego,state:CA,postCode:92101-1777,__typename:Address}","Rovino, located in San Diego, California, offers Italian cuisine for lunch and dinner. Rovino features an extensive wine selection and a knowledgeable staff who can help pair wine with each entrée.\u003cbr />\u003cbr />\u003cbr />\u003cbr />Try the fried calamari or the saffron rice balls filled with ground beef, peas and mozzarella cheese to start out your meal at Rovino. Choose from dinner entrées like the prosciutto and arugula flatbread or the pasta al sugo. Top off your Italian experience with a cup of specialty coffee and a dessert such as the tiramisu or the cannoli.\u003cbr />",null,true,"{phoneNumber:6192699341,formattedPhoneNumber:(619) 269-9341,__typename:RestaurantContactInformation}",[]
171283,Civico 1845,GuestCenter,on,"{profileLink:{link:https://www.opentable.com/civico-1845,__typename:PageLink},__typename:RestaurantUrls}","{priceBandId:2,currencySymbol:$,name:$30 and under,__typename:PriceBand}","{name:Little Italy,__typename:Neighborhood}","{recentReservationCount:26,reviews:{allTimeTextReviewCount:1493,ratings:{overall:{rating:4.3,__typename:ReviewStatisticsRating},__typename:ReviewStatisticsRatings},__typename:ReviewStatistics},__typename:RestaurantStatistics}","{name:Italian,__typename:Cuisine}",null,false,"{subtype:null,bar:false,counter:false,highTop:false,outdoor:false,pickupEnabled:null,__typename:RestaurantFeatures}",eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,[],Restaurant,false,"{profile:{xsmall:{url:https://resizer.otstatic.com/v2/photos/xsmall/1/24982095.jpg,width:105,__typename:Thumbnail},small:{url:https://images.otstatic.com/prod/24982095/1/small.jpg,width:160,__typename:Thumbnail},legacy:{url:https://resizer.otstatic.com/v2/photos/legacy/1/24982095.jpg,width:208,__typename:Thumbnail},medium:{url:https://images.otstatic.com/prod/24982095/1/medium.jpg,width:320,__typename:Thumbnail},__typename:RestaurantProfile},__typename:RestaurantPhotos}","{justAdded:false,__typename:JustAddedDetails}",[],Casual Dining,"{latitude:32.724251,longitude:-117.168344,__typename:GeographicCoordinates}","{line1:1845 India Street,line2:,city:San Diego,state:CA,postCode:92101,__typename:Address}",Fresh flavors with a modern spin on traditional Italian classics. Menu features several gluten-free and vegan friendly options.,null,true,"{phoneNumber:6194315990,formattedPhoneNumber:(619) 431-5990,__typename:RestaurantContactInformation}",[]
