title,latitude,longitude,street_address,zipcode,price,bed_info,bath_info,amenity_info
Carriage Park Apartments,40.4028,-80.0585,300 Chatham Park Drive,15220,$780 - $1815,Studio-3 Beds,1-2.5 Baths,Dishwasher+Pool+Patio/Balcony+Large Closets+Laundry Facilities+Fitness Center
Walnut Crossings,40.4357,-79.7636,4175 Ivanhoe Drive,15146,$970 - $2295,Studio-3 Beds,1-2 Baths,Air Conditioner+Dishwasher+Pool+Patio/Balcony+Garage+Large Closets
Carson Street Commons,40.4278,-79.9691,2529 East Carson St,15203,$1420 - $3975,1-2 Beds,1-2 Baths,Air Conditioner+Washer/Dryer+Dishwasher+Patio/Balcony+Garage+Large Closets
River Vue,40.4406,-80.0062,300 Liberty Avenue,15222,$1420 - $5995,Studio-3 Beds,1-2.5 Baths,Air Conditioner+Washer/Dryer+Fitness Center+Pets Allowed
Hidden Ridge,40.2936,-79.9905,400 Hidden Ridge Ct,15129,$1429 - $1509,2-3 Beds,2 Baths,Air Conditioner+Dishwasher+Pool+Patio/Balcony+Garage+Large Closets
Carriage Park Apartments,40.4028,-80.0585,300 Chatham Park Drive,15220,$780 - $1815,Studio-3 Beds,1-2.5 Baths,Dishwasher+Pool+Patio/Balcony+Large Closets+Laundry Facilities+Fitness Center
First Avenue Lofts,40.4368,-79.9998,436 1St Avenue,15219,$1195 - $1995,Studio-2 Beds,1 Bath,Pets Allowed
Hot Metal Flats,40.4264,-79.9625,2915 Sidney Street,15203,$1427 - $2842,Studio-2 Beds,1-2 Baths,Air Conditioner+Washer/Dryer+Dishwasher+Patio/Balcony+Large Closets+Fitness Center
2042 Kearns Avenue,40.4284,-80.0508,2042 Kearns Avenue Pittsburgh  PA,15205,$1300,3 Beds,2 Baths,Pets Allowed
The Cascades Apartments & Townhomes,40.5068,-80.0210,100 E West Drive,15237,$1054 - $1661,1-2 Beds,1-1.5 Baths,Air Conditioner+Washer/Dryer+Dishwasher+Pool+Patio/Balcony+Hardwood Floors
The Yards At 3 Crossings,40.4572,-79.9799,2645 Railroad Street,15222,$1550 - $3455,Studio-2 Beds,1-2 Baths,Air Conditioner+Washer/Dryer+Dishwasher+Pool+Patio/Balcony+Garage
Highland Plaza Apartments,40.4570,-79.9249,301 South Highland Avenue,15206,$1800,1-3 Beds,1-2 Baths,Air Conditioner+Dishwasher+Patio/Balcony+Large Closets+Laundry Facilities+Fitness Center
2920 Sebolt Rd,40.2827,-80.0106,2920 Sebolt Rd,15129,$1105,3 Beds,1 Bath,Pets Allowed
Park Place Of South Park Apartment Homes,40.3096,-80.0143,1700 Patrick Pl,15129,$875 - $1990,1-3 Beds,1-2 Baths,Air Conditioner+Washer/Dryer+Dishwasher+Pool+Patio/Balcony+Large Closets
The Flats At Summit Station,40.2880,-80.0168,3001 Perimeter Blvd,15129,$1305 - $2215,1-3 Beds,1-2 Baths,Washer/Dryer+Dishwasher+Pool+Patio/Balcony+Garage+Large Closets
Waterford At Nevillewood,40.3938,-80.1039,1900 Tee Court,15142,$1205 - $1950,1-3 Beds,1-2 Baths,Air Conditioner+Washer/Dryer+Dishwasher+Pool+Patio/Balcony+Garage
Walnut Towers At Frick Park,40.4268,-79.9093,7070 Forward Avenue,15217,$1300 - $1995,1-2 Beds,1-1.5 Baths,Air Conditioner+Dishwasher+High Speed Internet+Extra Storage+Laundry Facilities+Fitness Center
Highlands Of Montour Run Apartment Homes,40.4496,-80.1984,100 Lincoln Highlands Dr,15108,$1235 - $2182,1-3 Beds,1-2.5 Baths,Air Conditioner+Washer/Dryer+Dishwasher+Pool+Patio/Balcony+Garage
Heinz Lofts,40.4544,-79.9903,300 Heinz St,15212,$1405 - $3437,1-2 Beds,1-2 Baths,Air Conditioner+Washer/Dryer+Dishwasher+Patio/Balcony+Garage+Large Closets
City View Apartments,40.4402,-79.9863,1420 Centre Avenue,15219,$1183 - $2746,Studio-2 Beds,1-2 Baths,Air Conditioner+Dishwasher+Pool+Garage+High Speed Internet+Extra Storage
The Foundry At 41st,40.4722,-79.9643,4107 Willow Street,15201,$1493 - $2898,Studio-2 Beds,1-2 Baths,Air Conditioner+Washer/Dryer+Dishwasher+Pool+Patio/Balcony+Garage
Squires Manor Apartment Homes,40.2948,-79.9907,7000 Squires Manor Ln,15129,$975 - $1380,1-2 Beds,1 Bath,Air Conditioner+Washer/Dryer+Dishwasher+Pool+Patio/Balcony+Large Closets
Ascent 430,40.6528,-80.0891,430 Ascent Drive,15090,$1310 - $2095,1-3 Beds,1-2 Baths,Pool+Hardwood Floors+Fitness Center+Pets Allowed
Park View Apartments,40.4518,-80.0069,10 Allegheny Center,15212,$1015 - $3355,Studio-2 Beds,1-2 Baths,0
Neville Street,40.4523,-79.9493,311 N Neville Street,15213,0,1-2 Beds,1 Bath,0
City Vista,40.4271,-80.0372,325 Elizabeth Drive,15220,$1507 - $2936,Studio-3 Beds,1-2 Baths,0
Eagle Ridge Apartments,40.4423,-79.7821,1500 Eagle Ridge Dr,15146,$1105 - $2645,1-2 Beds,0,0
Coda On Centre,40.4582,-79.9320,5765 Centre Avenue,15206,$2020 - $3287,Studio-2 Beds,0,0
2509 Grandview Ave,40.3355,-79.8347,2509 Grandview Ave,15132,$850,3 Beds,0,0
Bates Hill Apartments,40.4390,-79.9527,3812 Bates Street,15213,0,1-3 Beds,0,0
Walnut On Wightman,40.4380,-79.9277,1700 Wightman Avenue,15127,0,3-4 Beds,0,0
Shadyside Commons,40.4531,-79.9409,401 Amberson Avenue,15232,0,1-2 Beds,0,0
Lawrenceville Place,40.4713,-79.9548,360 Winesap Drive,15201,0,2-3 Beds,0,0
Holden Street Apartments,40.4546,-79.9310,5733 Holden Street,15232,$1670 - $3195,2-3 Beds,0,0
413 N Graham St,40.4678,-79.9337,413 N Graham St Pittsburgh PA 15206,15206,$1500,4 Beds,0,0
Howe And Maryland Apartments,40.4517,-79.9285,5754 Howe Street,15232,0,1-3 Beds,0,0
Crane Village Apartments,40.4151,-80.0341,651 Oaklynn Court,15220,0,Studio-3 Beds,0,0
Hobart Court,40.4326,-79.9282,5557 Hobart Street,15217,$1168 - $1743,1-2 Beds,0,0
5644 Hempstead Road.,40.4321,-79.9265,5644 Hempstead Road,15217,$1384 - $1869,1 Bed,0,0
Laurel Village Apartments,40.4260,-79.8130,1000 Penn Center Blvd.,15235,$940 - $1170,Studio-2 Beds,0,0
Bellefonte Street Apartments,40.4525,-79.9347,632 Bellefonte Street,15232,0,1-2 Beds,0,0
5610 Elmer Street,40.4532,-79.9323,5610 Elmer Street,15232,0,1-3 Beds,0,0
Fifth Avenue Apartments,40.4533,-79.9195,6401 Fifth Avenue,15206,0,Studio-1 Bed,0,0
Walnut On The Park,40.4299,-79.9316,5326 Pocusset Street,15217,$1381 - $2036,1-2 Beds,0,0
Walnut On Howe Townhomes,40.4525,-79.9276,5823 Howe Street,15232,0,4 Beds,0,0
532 Waddell Ave,40.2939,-79.8869,532 Waddell Ave,15025,$850,3 Beds,0,0
Bakery Living Orange.,40.4558,-79.9169,6480 Living Place,15206,$2930 - $4390,Studio-2 Beds,0,0
Beacon Commons,40.4348,-79.9260,5629 Beacon Street,15217,$2515 - $3705,3 Beds,0,0
Highland Village,40.5234,-80.0470,130 Pinehurst Drive,15229,$1995 - $2885,2-3 Beds,0,0
Hempstead Road Properties.,40.4321,-79.9265,5625 Hempstead St. & 2105-2109 Wightman  St.,15217,$1436 - $1986,1-2 Beds,0,0
Carriage Park Apartments,40.4028,-80.0585,300 Chatham Park Drive,15220,$780 - $1815,Studio-3 Beds,1-2.5 Baths,Dishwasher+Pool+Patio/Balcony+Large Closets+Laundry Facilities+Fitness Center
Walnut Crossings,40.4357,-79.7636,4175 Ivanhoe Drive,15146,$970 - $2295,Studio-3 Beds,1-2 Baths,Air Conditioner+Dishwasher+Pool+Patio/Balcony+Garage+Large Closets
Carson Street Commons,40.4278,-79.9691,2529 East Carson St,15203,$1420 - $3975,1-2 Beds,1-2 Baths,Air Conditioner+Washer/Dryer+Dishwasher+Patio/Balcony+Garage+Large Closets
River Vue,40.4406,-80.0062,300 Liberty Avenue,15222,$1420 - $5995,Studio-3 Beds,1-2.5 Baths,Air Conditioner+Washer/Dryer+Fitness Center+Pets Allowed
Hidden Ridge,40.2936,-79.9905,400 Hidden Ridge Ct,15129,$1429 - $1509,2-3 Beds,2 Baths,Air Conditioner+Dishwasher+Pool+Patio/Balcony+Garage+Large Closets
Carriage Park Apartments,40.4028,-80.0585,300 Chatham Park Drive,15220,$780 - $1815,Studio-3 Beds,1-2.5 Baths,Dishwasher+Pool+Patio/Balcony+Large Closets+Laundry Facilities+Fitness Center
First Avenue Lofts,40.4368,-79.9998,436 1St Avenue,15219,$1195 - $1995,Studio-2 Beds,1 Bath,Pets Allowed
Hot Metal Flats,40.4264,-79.9625,2915 Sidney Street,15203,$1427 - $2842,Studio-2 Beds,1-2 Baths,Air Conditioner+Washer/Dryer+Dishwasher+Patio/Balcony+Large Closets+Fitness Center
2042 Kearns Avenue,40.4284,-80.0508,2042 Kearns Avenue Pittsburgh  PA,15205,$1300,3 Beds,2 Baths,Pets Allowed
The Cascades Apartments & Townhomes,40.5068,-80.0210,100 E West Drive,15237,$1054 - $1661,1-2 Beds,1-1.5 Baths,Air Conditioner+Washer/Dryer+Dishwasher+Pool+Patio/Balcony+Hardwood Floors
The Yards At 3 Crossings,40.4572,-79.9799,2645 Railroad Street,15222,$1550 - $3455,Studio-2 Beds,1-2 Baths,Air Conditioner+Washer/Dryer+Dishwasher+Pool+Patio/Balcony+Garage
Highland Plaza Apartments,40.4570,-79.9249,301 South Highland Avenue,15206,$1800,1-3 Beds,1-2 Baths,Air Conditioner+Dishwasher+Patio/Balcony+Large Closets+Laundry Facilities+Fitness Center
2920 Sebolt Rd,40.2827,-80.0106,2920 Sebolt Rd,15129,$1105,3 Beds,1 Bath,Pets Allowed
Park Place Of South Park Apartment Homes,40.3096,-80.0143,1700 Patrick Pl,15129,$875 - $1990,1-3 Beds,1-2 Baths,Air Conditioner+Washer/Dryer+Dishwasher+Pool+Patio/Balcony+Large Closets
The Flats At Summit Station,40.2880,-80.0168,3001 Perimeter Blvd,15129,$1305 - $2215,1-3 Beds,1-2 Baths,Washer/Dryer+Dishwasher+Pool+Patio/Balcony+Garage+Large Closets
Waterford At Nevillewood,40.3938,-80.1039,1900 Tee Court,15142,$1205 - $1950,1-3 Beds,1-2 Baths,Air Conditioner+Washer/Dryer+Dishwasher+Pool+Patio/Balcony+Garage
Walnut Towers At Frick Park,40.4268,-79.9093,7070 Forward Avenue,15217,$1300 - $1995,1-2 Beds,1-1.5 Baths,Air Conditioner+Dishwasher+High Speed Internet+Extra Storage+Laundry Facilities+Fitness Center
Highlands Of Montour Run Apartment Homes,40.4496,-80.1984,100 Lincoln Highlands Dr,15108,$1235 - $2182,1-3 Beds,1-2.5 Baths,Air Conditioner+Washer/Dryer+Dishwasher+Pool+Patio/Balcony+Garage
Heinz Lofts,40.4544,-79.9903,300 Heinz St,15212,$1405 - $3437,1-2 Beds,1-2 Baths,Air Conditioner+Washer/Dryer+Dishwasher+Patio/Balcony+Garage+Large Closets
City View Apartments,40.4402,-79.9863,1420 Centre Avenue,15219,$1183 - $2746,Studio-2 Beds,1-2 Baths,Air Conditioner+Dishwasher+Pool+Garage+High Speed Internet+Extra Storage
The Foundry At 41st,40.4722,-79.9643,4107 Willow Street,15201,$1493 - $2898,Studio-2 Beds,1-2 Baths,Air Conditioner+Washer/Dryer+Dishwasher+Pool+Patio/Balcony+Garage
Squires Manor Apartment Homes,40.2948,-79.9907,7000 Squires Manor Ln,15129,$975 - $1380,1-2 Beds,1 Bath,Air Conditioner+Washer/Dryer+Dishwasher+Pool+Patio/Balcony+Large Closets
Ascent 430,40.6528,-80.0891,430 Ascent Drive,15090,$1310 - $2095,1-3 Beds,1-2 Baths,Pool+Hardwood Floors+Fitness Center+Pets Allowed
Park View Apartments,40.4518,-80.0069,10 Allegheny Center,15212,$1015 - $3355,Studio-2 Beds,1-2 Baths,0
Neville Street,40.4523,-79.9493,311 N Neville Street,15213,0,1-2 Beds,1 Bath,0
City Vista,40.4271,-80.0372,325 Elizabeth Drive,15220,$1507 - $2936,Studio-3 Beds,1-2 Baths,0
Eagle Ridge Apartments,40.4423,-79.7821,1500 Eagle Ridge Dr,15146,$1105 - $2645,1-2 Beds,0,0
Coda On Centre,40.4582,-79.9320,5765 Centre Avenue,15206,$2020 - $3287,Studio-2 Beds,0,0
2509 Grandview Ave,40.3355,-79.8347,2509 Grandview Ave,15132,$850,3 Beds,0,0
Bates Hill Apartments,40.4390,-79.9527,3812 Bates Street,15213,0,1-3 Beds,0,0
Walnut On Wightman,40.4380,-79.9277,1700 Wightman Avenue,15127,0,3-4 Beds,0,0
Shadyside Commons,40.4531,-79.9409,401 Amberson Avenue,15232,0,1-2 Beds,0,0
Lawrenceville Place,40.4713,-79.9548,360 Winesap Drive,15201,0,2-3 Beds,0,0
Holden Street Apartments,40.4546,-79.9310,5733 Holden Street,15232,$1670 - $3195,2-3 Beds,0,0
413 N Graham St,40.4678,-79.9337,413 N Graham St Pittsburgh PA 15206,15206,$1500,4 Beds,0,0
Howe And Maryland Apartments,40.4517,-79.9285,5754 Howe Street,15232,0,1-3 Beds,0,0
Crane Village Apartments,40.4151,-80.0341,651 Oaklynn Court,15220,0,Studio-3 Beds,0,0
Hobart Court,40.4326,-79.9282,5557 Hobart Street,15217,$1168 - $1743,1-2 Beds,0,0
5644 Hempstead Road.,40.4321,-79.9265,5644 Hempstead Road,15217,$1384 - $1869,1 Bed,0,0
Laurel Village Apartments,40.4260,-79.8130,1000 Penn Center Blvd.,15235,$940 - $1170,Studio-2 Beds,0,0
Bellefonte Street Apartments,40.4525,-79.9347,632 Bellefonte Street,15232,0,1-2 Beds,0,0
5610 Elmer Street,40.4532,-79.9323,5610 Elmer Street,15232,0,1-3 Beds,0,0
Fifth Avenue Apartments,40.4533,-79.9195,6401 Fifth Avenue,15206,0,Studio-1 Bed,0,0
Walnut On The Park,40.4299,-79.9316,5326 Pocusset Street,15217,$1381 - $2036,1-2 Beds,0,0
Walnut On Howe Townhomes,40.4525,-79.9276,5823 Howe Street,15232,0,4 Beds,0,0
532 Waddell Ave,40.2939,-79.8869,532 Waddell Ave,15025,$850,3 Beds,0,0
Bakery Living Orange.,40.4558,-79.9169,6480 Living Place,15206,$2930 - $4390,Studio-2 Beds,0,0
Beacon Commons,40.4348,-79.9260,5629 Beacon Street,15217,$2515 - $3705,3 Beds,0,0
Highland Village,40.5234,-80.0470,130 Pinehurst Drive,15229,$1995 - $2885,2-3 Beds,0,0
Hempstead Road Properties.,40.4321,-79.9265,5625 Hempstead St. & 2105-2109 Wightman  St.,15217,$1436 - $1986,1-2 Beds,0,0
Market Square Place,40.4410,-80.0014,222 Fifth Avenue,15222,$1750 - $3100,Studio-2 Beds,1-2 Baths,0
Bayard School Lofts,40.4772,-79.9579,4836 Hatfield Street,15201,$1897,Studio-2 Beds,1 Bath,0
Bakery Living,40.4558,-79.9169,6480 Living Place,15206,$2565 - $4390,Studio-2 Beds,1-2 Baths,0
Walnut On Highland,40.4607,-79.9248,121 South Highland Avenue,15206,$1688 - $2988,Studio-3 Beds,1-2.5 Baths,0
Wightman Street,40.4321,-79.9265,2129 Wightman Street,15217,$1217 - $1742,1 Bed,1 Bath,0
The Noodle Factory,40.4634,-79.9495,4646 Friendship Avenue,15224,0,1-2 Beds,1-2 Baths,0
526 Penn Ave,40.4424,-80.0027,526 Penn Ave,15222,0,1-2 Beds,1-2 Baths,0
Hempstead Road Properties,40.4321,-79.9265,5625 Hempstead Street,15217,$1217 - $1986,1-2 Beds,1-2 Baths,0
Bedford Hill Apartments,40.4476,-79.9803,2129 Bedford Avenue,15219-3636,$1045,1-2 Beds,1-1.5 Baths,0
Forbes Terrace,40.4384,-79.9251,5703 Forbes Avenue,15217,0,3-4 Beds,1-2.5 Baths,0
University Commons.,40.4379,-79.9576,3811-3845 Dawson/382 S. Bouquet/1-3 Dimling Way,15213,$900,1-3 Beds,1-1.5 Baths,0
Fairfax Apartments,40.4469,-79.9481,4614 Fifth Avenue,15213,0,Studio-2 Beds,1-2 Baths,0
The Avalon Apartment Homes,40.4999,-80.0642,841 California Ave,15202,$1020 - $1675,Studio-2 Beds,1-2 Baths,0
Park West 205 Apartment Homes,40.4323,-80.1410,1000 Park W Pl,15205,$1400 - $2099,1-3 Beds,1-2 Baths,0
Christopher Wren Apartments And Townhomes,40.6323,-80.0664,501 Christopher Wren Dr,15090,$1395 - $3659,1-3 Beds,1-2.5 Baths,0
Club At North Hills Apartment Homes,40.5676,-80.0181,700 Duncan Ave,15237,$1205 - $1952,1-2 Beds,1-2 Baths,0
511 Pennwood Dr,40.4558,-79.8378,511 Pennwood Dr,15235,$955,2 Beds,1 Bath,0
Mountvue Apartments,40.4312,-80.0064,5 Grandview Avenue,15211,$1055 - $2419,Studio-2 Beds,1-2 Baths,0
Morgan At North Shore,40.4484,-79.9999,100 Anderson Str,15212,0,1-2 Beds,1-2 Baths,0
112 Bayard Street,40.2708,-79.8891,112 Bayard Street,15037,$625,1 Bed,1 Bath,0
